Case Number,Date,Year,Sex,Type,Species,Country,Area,Location,Activity,Age,Fatal (Y/N),Time,Month
2003.01.02,2003-01-02,2003.0,F,Unprovoked,WHALER SHARK,AUSTRALIA,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,SURFING,,N,afternoon,Jan
2002.12.29,2002-12-29,2002.0,F,Unprovoked,HAMMERHEAD SHARK,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),SNORKELING,18.0,N,Unspecified,Dec
1942.12.26,1942-12-26,1942.0,F,Unprovoked,BULL SHARK,AUSTRALIA,New South Wales,"Bantry Bay, near Ironstone Point, Middle Harbor, Sydney",OTHER,15.0,Y,day-morning,Dec
1990.10.27,1990-10-27,1990.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Mermaid Waters,SWIMMING,26.0,N,night,Oct
1942.09.12.a,1942-09-12,1942.0,M,Unprovoked,TIGER SHARK,AUSTRALIA,Queensland,"Trinity Beach, 17 km northwast of Cairns",FLOATING,24.0,N,afternoon,Sep
2011.10.09,2011-10-09,2011.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,Cottesloe Beach,SWIMMING,64.0,Y,day-morning,Oct
1942.05.09,1942-05-09,1942.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Great Barrier Reef, off Cairns",OTHER,,N,Unspecified,May
2011.10.19,2011-10-19,2011.0,M,Unprovoked,JACKSON SHARK,AUSTRALIA,Victoria,Elwood Beach,DIVING,50.0,N,afternoon,Oct
1942.03.04,1942-03-04,1942.0,M,Unspecified,Unknown,AUSTRALIA,New South Wales,George’s River,,18.0,Unknown,Unspecified,Mar
2011.10.22,2011-10-22,2011.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Western Australia,Rottnest Island,DIVING,32.0,Y,afternoon,Oct
1942.01.18,1942-01-18,1942.0,,Provoked,Unknown,AUSTRALIA,New South Wales,Fairy Bower,,,N,Unspecified,Jan
1942.01.04,1942-01-04,1942.0,F,Unprovoked,BULL SHARK,AUSTRALIA,New South Wales,"Egg Rock, Middle Harbor, Sydney",SWIMMING,28.0,Y,afternoon,Jan
1942.01.00,,1942.0,M,Provoked,Unknown,AUSTRALIA,New South Wales,"Fairy Bower, near North Steyne",SURFING,,N,Unspecified,Jan
2011.11.28,2011-11-28,2011.0,M,Unprovoked,WOBBEGONG SHARK,AUSTRALIA,Queensland,Peregian,SWIMMING,10.0,N,afternoon,Nov
2011.12.02,2011-12-02,2011.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Broken Head,SURFING,63.0,N,day-morning,Dec
2011.12.05,2011-12-05,2011.0,,Unspecified,Unknown,AUSTRALIA,Queensland,Bushy Ilet,SPEARFISHING,,Unknown,Unspecified,Dec
1990.10.25,1990-10-25,1990.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,Goolwa Beach,SURFING,,N,day-morning,Oct
1990.05.10,1990-05-10,1990.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Outer Barrier Reef near Port Douglas,OTHER,35.0,N,Unspecified,May
1943.06.16,1943-06-16,1943.0,M,Provoked,WHITE SHARK,AUSTRALIA,Tasmania,Triabunna,OTHER,18.0,N,Unspecified,Jun
1944.01.16,1944-01-16,1944.0,M,Provoked,Unknown,AUSTRALIA,Western Australia,"Cottesloe, Perth",FISHING,,N,Unspecified,Jan
1947.01.14,1947-01-14,1947.0,,Provoked,Unknown,AUSTRALIA,New South Wales,"Berry's Bay, Sydney Harbour",ON BOAT,,N,Unspecified,Jan
1946.12.28,1946-12-28,1946.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,Glenelg,OTHER,23.0,N,Unspecified,Dec
1949.01.14,1949-01-14,1949.0,M,Unspecified,Unknown,AUSTRALIA,New South Wales,Off North Bondi,SURFING,32.0,Unknown,afternoon,Jan
1946.11.20,1946-11-20,1946.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,40 miles off Thursday Island,OTHER,30.0,Y,Unspecified,Nov
1946.10.14,1946-10-14,1946.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Mark’s Point, Swan Bay, Lake Macquarie",SWIMMING,15.0,N,Unspecified,Oct
1946.08.18,1946-08-18,1946.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",OTHER,30.0,Y,afternoon,Aug
